date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:59	102471/102471	---M--	200	added ('OK')	image/jpeg	etag:%2219047-67f79e0c-e0d452b0f83b50c0;;;%22	https://mentoriasouza.site/marmitas/images/Marmita-Fit-bg.jpg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/Marmita-Fit-bg.jpg	(from https://mentoriasouza.site/marmitas/css/post-15.css)
23:52:00	78610/78610	---M--	200	added ('OK')	image/jpeg	etag:%2213312-67f79e0e-6438945db435fbf4;;;%22	https://mentoriasouza.site/marmitas/images/bg-marmita-01.jpg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/bg-marmita-01.jpg	(from https://mentoriasouza.site/marmitas/css/post-15.css)
23:52:01	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:25%20GMT	https://mentoriasouza.site/marmitas/youtube.com/v/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/youtube.com/v/index.html	(from https://mentoriasouza.site/marmitas/js/public.js)
23:52:01	15053/15053	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:25%20GMT	https://mentoriasouza.site/marmitas/youtube.com/embed/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/youtube.com/embed/index.html	(from https://mentoriasouza.site/marmitas/js/public.js)
23:52:01	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:25%20GMT	https://mentoriasouza.site/marmitas/player.vimeo.com/video/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/player.vimeo.com/video/index.html	(from https://mentoriasouza.site/marmitas/js/public.js)
23:52:01	5030/5030	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Apr%202025%2002:52:02%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/filip/Desktop/03fit/analytics.tiktok.com/i18n/pixel/events.js	(from https://mentoriasouza.site/marmitas/js/public.js)
23:52:02	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:26%20GMT	https://mentoriasouza.site/marmitas/a	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/a	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:03	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:27%20GMT	https://mentoriasouza.site/marmitas/POST	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/POST	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:03	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:27%20GMT	https://mentoriasouza.site/marmitas/schema.org/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:04	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:28%20GMT	https://mentoriasouza.site/marmitas/b.resolvedLink	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:04	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:29%20GMT	https://mentoriasouza.site/signals/iwl.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:05	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:29%20GMT	https://mentoriasouza.site/marmitas/c.dl	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/c.dl	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:05	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:29%20GMT	https://mentoriasouza.site/marmitas/c.rl	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/c.rl	(from https://connect.facebook.net/en_US/fbevents.js)
23:52:06	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:30%20GMT	https://mentoriasouza.site/marmitas/-negative.svg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/-negative.svg	(from https://mentoriasouza.site/marmitas/js/frontend.min.js)
23:52:07	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:31%20GMT	https://mentoriasouza.site/marmitas/OPR/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/OPR/index.html	(from https://mentoriasouza.site/marmitas/js/frontend.min.js)
23:52:08	58108/58108	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2002:51:31%20GMT	https://mentoriasouza.site/marmitas/document.location	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/document.location	(from https://mentoriasouza.site/marmitas/js/preloaded-elements-handlers.min.js)
